brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size,cylinders,hp,fi_type,turbo,trans_type,trans_speed,ext_base_color,ext_color_type,int_base_color
Acura,MDX w/Technology Package,2023,3415.0,Gasoline,3.5 Liter SOHC,F,White,Parchment.,0,0,54998.0,3.5,NA,310.0,NA,NA,Manual,6.0,White,Gloss,Miscellaneous
Lexus,LC 500 Base,2018,61000.0,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,65000.0,5.0,8 CYLINDER,471.0,NA,NA,Manual,6.0,Black,Gloss,Black
Audi,SQ5 3.0T Prestige,2019,48500.0,Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,1,1,43500.0,3.0,V6,349.0,NA,NA,Manual,6.0,Gray,Gloss,Black
Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,65680.0,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,1,1,34900.0,2.0,4 CYLINDER,247.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
RAM,1500 Limited,2020,44362.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,0,1,50658.0,5.7,V8,310.0,MPFI,NA,Automatic,8.0,White,Gloss,Black
Audi,S4 3.0T Premium,2019,18603.0,Gasoline,3.0L V6 24V GDI DOHC Turbo,8-Speed Automatic,Brilliant Black,Black,0,0,42900.0,3.0,V6,300.0,GDI,Turbo,Automatic,8.0,Black,Gloss,Black
Audi,A8 4.0,2020,35999.0,Hybrid,4.0 Liter Turbo,Automatic,Mythos Black Metallic,Sarder Brown,0,0,59598.0,4.0,NA,310.0,NA,Turbo,Automatic,8.0,Black,Metallic,Brown
Cadillac,Escalade ESV Sport,2021,8044.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,0,1,93000.0,6.2,8 CYLINDER,420.0,NA,NA,Manual,6.0,Black,Gloss,Beige
Mercedes-Benz,AMG GT AMG GT S,2016,9738.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Black,0,1,85500.0,4.0,8 CYLINDER,503.0,NA,NA,Automatic,7.0,Red,Gloss,Black
BMW,M3 Base,2009,112000.0,Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,1,1,28000.0,4.0,8 CYLINDER,420.0,NA,NA,Manual,6.0,Gray,Gloss,Black
Honda,Accord EX-L,2009,167300.0,Gasoline,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,0,1,6250.0,2.4,4 CYLINDER,190.0,NA,NA,Automatic,5.0,Silver,Gloss,Black
Rolls-Royce,Cullinan,2022,115.0,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,–,Grace White,0,1,449995.0,6.7,V12,310.0,GDI,Twin Turbo,Automatic,8.0,Miscellaneous,Gloss,White
Cadillac,Escalade Premium,2015,71000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,1,1,35999.0,6.2,8 CYLINDER,420.0,NA,NA,Automatic,6.0,Black,Gloss,Brown
Acura,RDX Technology Package,2020,31015.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Silver,Ebony,0,1,36570.0,2.0,I4,310.0,GDI,Turbo,Automatic,10.0,Silver,Gloss,Ebony
BMW,X2 xDrive28i,2022,33000.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,0,1,29999.0,2.0,4 CYLINDER,228.0,NA,NA,Manual,6.0,Orange,Gloss,Black
Chrysler,Pacifica Touring,2017,63000.0,–,–,9-Speed A/T,White,Beige,0,1,20000.0,3.5,NA,310.0,NA,NA,Automatic,9.0,White,Gloss,Beige
Buick,Verano Convenience,2013,68325.0,E85 Flex Fuel,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Silver,Gray,0,1,11995.0,2.4,4 CYLINDER,180.0,NA,NA,Manual,6.0,Silver,Gloss,Gray
Mercedes-Benz,AMG S 63 Base 4MATIC,2020,20937.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Magnetite Black Metallic,Black,0,0,104900.0,4.0,V8,310.0,GDI,Twin Turbo,Automatic,9.0,Black,Metallic,Black
RAM,2500 Tradesman,2021,34365.0,Gasoline,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,1,1,48000.0,6.4,8 CYLINDER,410.0,NA,NA,Automatic,8.0,Gray,Gloss,Gray
Mercedes-Benz,Metris Base,2018,32000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,44900.0,2.0,4 CYLINDER,208.0,NA,NA,Manual,6.0,Black,Gloss,Black
Land,Rover Range Rover Evoque S,2020,40237.0,Gasoline,2.0 Liter,Automatic,Carpathian Grey Premium Metallic,Cloud,0,0,36998.0,2.0,NA,310.0,NA,NA,Automatic,8.0,Miscellaneous,Metallic,Miscellaneous
Volvo,XC90 T6 Inscription,2020,22500.0,Gasoline,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,White,0,1,50000.0,2.0,4 CYLINDER,316.0,NA,NA,Automatic,8.0,Black,Gloss,White
Ford,Expedition King Ranch,2020,58700.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Brown,1,1,48999.0,3.5,V6,375.0,NA,NA,Automatic,10.0,Black,Gloss,Brown
Toyota,Highlander Hybrid Limited,2006,264893.0,Hybrid,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Gold,Beige,1,1,5000.0,3.3,V6,208.0,NA,NA,Automatic,8.0,Gold,Gloss,Beige
Toyota,Tundra SR5 Access Cab,2005,209500.0,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Gray,0,1,8500.0,4.7,8 CYLINDER,282.0,NA,NA,Automatic,5.0,Blue,Gloss,Gray
Ford,Transit-350 Base,2023,195.0,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Gray,0,1,87500.0,3.5,V6,310.0,NA,NA,Automatic,10.0,Blue,Gloss,Gray
Chevrolet,Express 3500 LT,2016,120000.0,Diesel,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,White,Gray,0,1,19500.0,6.6,8 CYLINDER,260.0,NA,NA,Automatic,6.0,White,Gloss,Gray
Jeep,Wrangler Unlimited 4xe Sahara,2021,33704.0,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic,Bright White Clearcoat,Black,0,0,42998.0,2.0,I4,310.0,GDI,Turbo,Automatic,8.0,White,Gloss,Black
BMW,X7 xDrive40i,2023,2950.0,Hybrid,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Brown,0,1,87000.0,3.0,STRAIGHT 6,375.0,NA,NA,Automatic,8.0,Black,Gloss,Brown
Mercedes-Benz,AMG GT 53 Base,2021,17994.0,Gasoline,3.0L I6 24V GDI DOHC Turbo,9-Speed Automatic,–,–,0,1,87500.0,3.0,I6,310.0,GDI,Turbo,Automatic,9.0,Miscellaneous,Gloss,Miscellaneous
Toyota,Tundra Limited,2020,44101.0,Gasoline,5.7L V8 32V MPFI DOHC,6-Speed Automatic,Gray,Black,0,1,45423.0,5.7,V8,310.0,MPFI,NA,Automatic,6.0,Gray,Gloss,Black
BMW,X1 xDrive28i,2021,25918.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,0,1,32000.0,2.0,4 CYLINDER,228.0,NA,NA,Manual,6.0,Gray,Gloss,Black
BMW,135 i,2008,87000.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,0,1,15300.0,3.0,STRAIGHT 6,300.0,NA,NA,Automatic,8.0,White,Gloss,Beige
Mazda,Mazda3 Touring,2018,28333.0,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,0,1,20500.0,2.5,4 CYLINDER,184.0,NA,NA,Manual,6.0,Blue,Gloss,Black
Audi,A7 3.0T Premium Plus,2018,29294.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,0,1,39999.0,3.0,V6,340.0,NA,NA,Automatic,8.0,White,Gloss,Beige
Saturn,Sky Red Line,2008,37000.0,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,0,1,14995.0,2.0,4 CYLINDER,260.0,NA,NA,Automatic,8.0,Blue,Gloss,Black
BMW,Z4 2.5i Roadster,2005,138000.0,Gasoline,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,0,1,9950.0,2.5,STRAIGHT 6,184.0,NA,NA,Automatic,5.0,White,Gloss,Beige
Volvo,XC90 Hybrid T8 Inscription,2020,44487.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,0,1,65000.0,2.0,4 CYLINDER,400.0,NA,NA,Automatic,8.0,Blue,Gloss,Brown
Acura,TLX A-Spec,2021,16878.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,10-Speed Automatic,Red,Ebony,0,1,38781.0,2.0,I4,310.0,GDI,Turbo,Automatic,10.0,Red,Gloss,Ebony
Acura,MDX w/Technology Package,2022,30177.0,Gasoline,3.5L 24V SOHC I-VTEC V6,2,Majestic Black Pearl,Espresso,0,0,46598.0,3.5,V6,300.0,NA,NA,Manual,2.0,Black,Gloss,Miscellaneous
Chevrolet,Tahoe High Country,2021,53000.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,1,1,67100.0,6.2,8 CYLINDER,420.0,NA,NA,Automatic,10.0,Black,Gloss,Black
Mercedes-Benz,GLK-Class GLK 350,2013,99200.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,0,0,11495.0,3.5,V6,302.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
Chevrolet,Traverse LS,2022,32117.0,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Northsky Blue Metallic,Jet Black,0,0,33299.0,3.6,V6,300.0,GDI,NA,Automatic,8.0,Blue,Metallic,Black
BMW,550 Gran Turismo i,2013,79341.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Brown,0,1,16800.0,4.4,8 CYLINDER,445.0,NA,NA,Automatic,8.0,Gold,Gloss,Brown
Land,Rover Range Rover Sport HSE,2007,220000.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,0,1,5750.0,4.4,8 CYLINDER,300.0,NA,NA,Automatic,8.0,White,Gloss,Beige
BMW,430 i xDrive,2021,16900.0,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,White,0,1,43000.0,2.0,4 CYLINDER,255.0,NA,NA,Automatic,8.0,Blue,Gloss,White
Porsche,Cayman Base,2007,75137.0,Gasoline,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,M/T,Black,Gray,1,1,24999.0,2.7,FLAT 6,245.0,NA,NA,Manual,6.0,Black,Gloss,Gray
Ford,Expedition Max King Ranch,2021,37594.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Black,Mesa,0,1,62595.0,3.5,V6,300.0,PDI,Twin Turbo,Automatic,10.0,Black,Gloss,Miscellaneous
Mercedes-Benz,GLC 300 GLC 300,2021,12771.0,Gasoline,2.0 Liter Turbo,Automatic,Black,–,0,0,42598.0,2.0,NA,310.0,NA,Turbo,Automatic,8.0,Black,Gloss,Miscellaneous
Ford,Mustang Shelby GT500,2012,6400.0,Gasoline,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,0,1,48000.0,5.4,8 CYLINDER,550.0,NA,NA,Manual,6.0,Silver,Gloss,Black
Nissan,370Z Base,2009,79893.0,Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,0,1,15900.0,3.7,V6,332.0,NA,NA,Automatic,7.0,Silver,Gloss,Black
Toyota,Sequoia Platinum,2014,124838.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,0,1,33000.0,5.7,8 CYLINDER,381.0,NA,NA,Automatic,8.0,Black,Gloss,Gray
Nissan,NV Passenger NV3500 HD SL V8,2020,14353.0,Gasoline,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,0,1,63900.0,5.6,8 CYLINDER,375.0,NA,NA,Automatic,8.0,Black,Gloss,Gray
Ford,Transit Connect XL w/Rear Symmetrical Doors,2022,22985.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Gray,0,1,33500.0,2.5,4 CYLINDER,169.0,NA,NA,Automatic,8.0,White,Gloss,Gray
INFINITI,QX80 Base,2014,161894.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,0,1,18900.0,5.6,8 CYLINDER,400.0,NA,NA,Automatic,7.0,White,Gloss,Beige
Aston,Martin V8 Vantage Base,2008,25025.0,Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,1,1,39000.0,4.3,8 CYLINDER,380.0,NA,NA,Automatic,6.0,White,Gloss,Black
Porsche,911 Carrera S,2017,16701.0,Gasoline,3.0 Liter,–,Red,–,0,0,107998.0,3.0,NA,310.0,NA,NA,Manual,6.0,Red,Gloss,Miscellaneous
Lotus,Evora 400 Base,2017,19650.0,Gasoline,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Red,0,1,69250.0,3.5,V6,400.0,NA,NA,Manual,6.0,Silver,Gloss,Red
Land,Rover Range Rover Velar P250 S R-Dynamic,2020,29500.0,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,White,0,1,45000.0,2.0,4 CYLINDER,247.0,NA,NA,Automatic,8.0,Red,Gloss,White
Nissan,Xterra S,2007,132272.0,Gasoline,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,M/T,Gray,Gray,1,1,6700.0,4.0,V6,261.0,NA,NA,Manual,6.0,Gray,Gloss,Gray
Dodge,Charger R/T,2012,122000.0,Gasoline,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Black,1,1,13500.0,5.7,8 CYLINDER,370.0,NA,NA,Automatic,5.0,White,Gloss,Black
Buick,Encore GX Essence,2022,18185.0,Gasoline,1.3L I3 12V GDI DOHC Turbo,Automatic CVT,Summit White,Whisper Beige,0,0,31755.0,1.3,I3,310.0,GDI,Turbo,AUTOMATIC CVT,7.0,White,Gloss,Beige
Jeep,Grand Wagoneer Series III,2022,18428.0,Gasoline,6.4 Liter,Automatic,Baltic Gray,Black,0,0,83998.0,6.4,NA,310.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
Nissan,Z Proto Spec,2023,535.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Yellow,Black,0,1,65990.0,3.0,V6,400.0,NA,NA,Manual,6.0,Yellow,Gloss,Black
Land,Rover Range Rover Sport HSE,2013,81648.0,Gasoline,"5L V-8 gasoline direct injection, DOHC, variable valve control,","Auto, 6-Spd w/CmdShft",Fuji White,–,0,0,15900.0,5.0,NA,310.0,NA,NA,Manual,6.0,White,Gloss,Miscellaneous
Porsche,Boxster S,2003,138202.0,Gasoline,3.2L H6 24V MPFI DOHC,6-Speed Manual,Silver,Black,1,1,22550.0,3.2,NA,310.0,MPFI,NA,Manual,6.0,Silver,Gloss,Black
Bentley,Continental GT Base,2004,69600.0,Gasoline,550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,0,1,37900.0,6.0,12 CYLINDER,550.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
Jaguar,F-TYPE R,2018,39900.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,0,1,53600.0,5.0,8 CYLINDER,550.0,NA,NA,Automatic,8.0,White,Gloss,Black
Cadillac,Escalade ESV Sport,2021,36500.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,0,1,85000.0,6.2,8 CYLINDER,420.0,NA,NA,Manual,6.0,White,Gloss,Black
Audi,TT 2.0T,2018,42650.0,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,0,1,31990.0,2.0,4 CYLINDER,220.0,NA,NA,Manual,6.0,Gray,Gloss,Black
Jeep,Wrangler Unlimited Sahara,2020,68816.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,0,1,35297.0,2.0,I4,310.0,GDI,Turbo,Automatic,8.0,Black,Gloss,Black
Audi,S6 4.0T,2016,91188.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,0,1,29995.0,4.0,8 CYLINDER,450.0,NA,NA,Automatic,7.0,Black,Gloss,Black
GMC,Sierra 2500 SLE,2015,116210.0,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Black,Beige,0,1,31900.0,6.0,8 CYLINDER,360.0,NA,NA,Manual,6.0,Black,Gloss,Beige
Mazda,CX-90 Premium,2024,3880.0,Gasoline,2.5L,8-Speed Automatic,Machine Gray Metallic,Black,0,1,52991.0,2.5,NA,310.0,NA,NA,Automatic,8.0,Gray,Metallic,Black
Ford,C-Max Energi SE,2017,67482.0,Plug-In Hybrid,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,CVT Transmission,Gray,Black,1,1,11499.0,2.0,4 CYLINDER,188.0,NA,NA,Variable,7.0,Gray,Gloss,Black
Cadillac,Escalade ESV Platinum,2018,67726.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,0,1,52000.0,6.2,8 CYLINDER,420.0,NA,NA,Automatic,10.0,Black,Gloss,Black
Audi,TT 3.2 Cabriolet quattro,2008,207000.0,Gasoline,250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,1,1,10500.0,3.2,V6,250.0,NA,NA,Manual,6.0,Black,Gloss,Black
Hyundai,Santa Fe SE,2021,35550.0,Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Twilight Black,Black,1,1,25987.0,2.5,I4,310.0,PDI,NA,Automatic,8.0,Black,Gloss,Black
Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,44000.0,Gasoline,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,0,1,46599.0,5.5,8 CYLINDER,577.0,NA,NA,Automatic,7.0,Black,Gloss,Black
Mercedes-Benz,SL-Class SL 550,2015,11249.0,Gasoline,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,0,1,54500.0,4.7,8 CYLINDER,429.0,NA,NA,Automatic,7.0,White,Gloss,Beige
Acura,MDX 3.5L Technology Package,2014,111650.0,Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Beige,1,1,17500.0,3.5,V6,290.0,NA,NA,Automatic,6.0,Green,Gloss,Beige
RAM,2500 Laramie,2019,18526.0,Diesel,6.7L I6 24V DDI OHV Turbo Diesel,6-Speed Automatic,Pearl White,Black,0,0,67999.0,6.7,I6,310.0,DDI,Turbo,Automatic,6.0,White,Gloss,Black
Audi,A7 Premium,2012,103272.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,0,1,15500.0,3.0,V6,310.0,NA,NA,Automatic,8.0,Black,Gloss,Brown
BMW,M2 Base,2023,1160.0,Gasoline,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,0,1,73600.0,3.0,STRAIGHT 6,453.0,NA,NA,Manual,6.0,Gray,Gloss,Black
RAM,1500 Laramie,2019,107714.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,0,1,34918.0,5.7,V8,310.0,MPFI,NA,Automatic,8.0,Black,Gloss,Black
Audi,Q5 2.0T Premium Plus,2013,111773.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Beige,0,1,17000.0,2.0,4 CYLINDER,211.0,NA,NA,Automatic,8.0,Brown,Gloss,Beige
Cadillac,XTS Luxury,2019,54002.0,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,1,1,22500.0,3.6,V6,304.0,NA,NA,Automatic,8.0,Black,Gloss,Beige
Volkswagen,Jetta 1.4T SE,2016,87000.0,Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,1,1,13000.0,1.4,4 CYLINDER,150.0,NA,NA,Manual,6.0,Gray,Gloss,Gray
Ford,Focus RS Base,2016,49700.0,Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,0,1,31700.0,2.3,4 CYLINDER,350.0,NA,NA,Manual,6.0,Blue,Gloss,Black
Mercedes-Benz,AMG C 63 S,2017,34500.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,0,1,64600.0,4.0,8 CYLINDER,503.0,NA,NA,Automatic,7.0,Gray,Gloss,Black
Ford,Bronco Sport Big Bend,2021,31729.0,Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Maroon,Medium Dark Slate,1,1,29614.0,1.5,I3,310.0,PDI,Turbo,Automatic,8.0,Miscellaneous,Gloss,Miscellaneous
Jeep,Gladiator Overland,2021,7388.0,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,0,1,43663.0,3.6,V6,300.0,MPFI,NA,Automatic,8.0,Red,Gloss,Black
BMW,330e iPerformance,2017,41550.0,Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Silver,Black,0,1,20995.0,2.0,4 CYLINDER,247.0,NA,NA,Manual,6.0,Silver,Gloss,Black
Mercedes-Benz,GLC 300 Base 4MATIC,2018,44486.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,Black,0,0,25625.0,2.0,I4,310.0,GDI,Turbo,Automatic,9.0,Gray,Gloss,Black
Acura,MDX 3.7L Advance,2013,20750.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,0,1,33000.0,3.7,V6,300.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Genesis,G70 3.3T,2022,12000.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,0,1,41000.0,3.3,V6,365.0,NA,NA,Automatic,8.0,Green,Gloss,Beige
Lexus,LX 570 Three-Row,2021,14206.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,0,1,98000.0,5.7,8 CYLINDER,383.0,NA,NA,Automatic,8.0,Black,Gloss,Black
Jeep,Grand Cherokee L Limited,2022,31700.0,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,0,1,43500.0,3.6,V6,293.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
Hyundai,IONIQ Plug-In Hybrid SEL,2022,13044.0,Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Blue,Gray,1,1,24999.0,1.6,4 CYLINDER,139.0,NA,NA,Automatic,8.0,Blue,Gloss,Gray
Kia,Sportage LX,2009,100730.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Gold,0,1,6975.0,2.7,V6,173.0,NA,NA,Automatic,8.0,Gold,Gloss,Gold
BMW,X5 PHEV xDrive45e,2023,5338.0,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,White,0,1,76500.0,3.0,STRAIGHT 6,389.0,NA,NA,Automatic,8.0,Blue,Gloss,White
Ford,Expedition EL XLT,2014,85149.0,Gasoline,5.4 Liter,Automatic,Oxford White,Camel Leather,0,0,23598.0,5.4,NA,310.0,NA,NA,Automatic,8.0,White,Gloss,Miscellaneous
BMW,X6 M Base,2018,48291.0,Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,0,1,67250.0,4.4,8 CYLINDER,567.0,NA,NA,Manual,6.0,Gray,Gloss,Brown
Volkswagen,Eurovan MV,2001,111887.0,Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,0,1,14000.0,2.8,V6,140.0,NA,NA,Automatic,8.0,Blue,Gloss,Gray
Rolls-Royce,Ghost Base,2010,79000.0,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,0,1,69000.0,6.6,12 CYLINDER,563.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
Lincoln,Navigator Reserve,2016,125000.0,Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,0,1,26500.0,3.5,V6,380.0,NA,NA,Manual,6.0,Gray,Gloss,Beige
Mercedes-Benz,GLA 250 Base 4MATIC,2022,13777.0,Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,1,1,39777.0,2.0,4 CYLINDER,221.0,NA,NA,Automatic,8.0,Black,Gloss,Black
RAM,1500 Big Horn,2022,14920.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,0,1,41741.0,3.6,V6,300.0,MPFI,NA,Automatic,8.0,Black,Gloss,Black
Jeep,Grand Cherokee L Summit,2022,14627.0,Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Tupelo,0,0,56740.0,3.6,V6,300.0,MPFI,NA,Automatic,8.0,Black,Gloss,Miscellaneous
Volvo,S80 3.2,2010,90050.0,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,0,1,5800.0,3.2,STRAIGHT 6,235.0,NA,NA,Automatic,8.0,Brown,Gloss,Beige
Subaru,BRZ Premium,2014,45000.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,1,1,25000.0,2.0,4 CYLINDER,200.0,NA,NA,Manual,6.0,Blue,Gloss,Black
